"","Date","GSPC.Open","GSPC.High","GSPC.Low","GSPC.Close","GSPC.Volume","GSPC.Adjusted","IBEX.Open","IBEX.High","IBEX.Low","IBEX.Close","IBEX.Volume","IBEX.Adjusted","IXIC.Open","IXIC.High","IXIC.Low","IXIC.Close","IXIC.Volume","IXIC.Adjusted","AMZN.Open","AMZN.High","AMZN.Low","AMZN.Close","AMZN.Volume","AMZN.Adjusted","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted","MSFT.Open","MSFT.High","MSFT.Low","MSFT.Close","MSFT.Volume","MSFT.Adjusted","NVDA.Open","NVDA.High","NVDA.Low","NVDA.Close","NVDA.Volume","NVDA.Adjusted","META.Open","META.High","META.Low","META.Close","META.Volume","META.Adjusted","GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted","TSLA.Open","TSLA.High","TSLA.Low","TSLA.Close","TSLA.Volume","TSLA.Adjusted","JPM.Open","JPM.High","JPM.Low","JPM.Close","JPM.Volume","JPM.Adjusted","LLY.Open","LLY.High","LLY.Low","LLY.Close","LLY.Volume","LLY.Adjusted","IBE.Open","IBE.High","IBE.Low","IBE.Close","IBE.Volume","IBE.Adjusted","ITX.Open","ITX.High","ITX.Low","ITX.Close","ITX.Volume","ITX.Adjusted","SAN.Open","SAN.High","SAN.Low","SAN.Close","SAN.Volume","SAN.Adjusted","CLNX.Open","CLNX.High","CLNX.Low","CLNX.Close","CLNX.Volume","CLNX.Adjusted","BBVA.Open","BBVA.High","BBVA.Low","BBVA.Close","BBVA.Volume","BBVA.Adjusted","AMS.Open","AMS.High","AMS.Low","AMS.Close","AMS.Volume","AMS.Adjusted","TEF.Open","TEF.High","TEF.Low","TEF.Close","TEF.Volume","TEF.Adjusted","CABK.Open","CABK.High","CABK.Low","CABK.Close","CABK.Volume","CABK.Adjusted","FER.Open","FER.High","FER.Low","FER.Close","FER.Volume","FER.Adjusted"
"1",2010-01-04,1116.56005859375,1133.86999511719,1116.56005859375,1132.98999023438,3991400000,1132.98999023438,11986.5,12145.099609375,11986.099609375,12145.099609375,184200,12145.0869140625,2294.40991210938,2311.14990234375,2294.40991210938,2308.419921875,1931380000,2308.419921875,6.8125,6.83050012588501,6.65700006484985,6.69500017166138,151998000,6.69500017166138,7.62249994277954,7.6607141494751,7.58500003814697,7.64321422576904,493729600,6.44033193588257,30.6200008392334,31.1000003814697,30.5900001525879,30.9500007629395,38409100,23.2540512084961,0.462749987840652,0.465499997138977,0.452749997377396,0.462249994277954,800204000,0.423883587121964,NA,NA,NA,NA,NA,NA,15.6894388198853,15.7535037994385,15.6216220855713,15.6844339370728,78169752,15.6098041534424,NA,NA,NA,NA,NA,NA,41.7900009155273,42.9900016784668,41.6699981689453,42.8499984741211,35460500,29.0067596435547,35.7700004577637,36.3499984741211,35.7700004577637,35.8199996948242,6067100,23.6225109100342,NA,NA,NA,NA,NA,NA,33.3499984741211,33.3499984741211,33.3499984741211,33.3499984741211,0,33.3499984741211,16.7800006866455,17,16.7700004577637,16.9200000762939,2166000,7.05226802825928,NA,NA,NA,NA,NA,NA,18.1424999237061,18.3883323669434,18.1326675415039,18.3096675872803,584441,8.18842601776123,2.79999995231628,2.84999990463257,2.79999995231628,2.82999992370605,1300,2.82999992370605,28.3199996948242,28.6299991607666,28.2900009155273,28.5499992370605,808800,10.7513313293457,1.37222003936768,1.37222003936768,1.37222003936768,1.37222003936768,0,1.37222003936768,NA,NA,NA,NA,NA,NA
"2",2010-01-05,1132.66003417969,1136.63000488281,1129.66003417969,1136.52001953125,2491020000,1136.52001953125,12141.7998046875,12240.5,12139.7998046875,12204.400390625,238400,12204.3876953125,2307.27001953125,2313.72998046875,2295.6201171875,2308.7099609375,2367860000,2308.7099609375,6.67150020599365,6.77400016784668,6.59049987792969,6.73449993133545,177038000,6.73449993133545,7.6642861366272,7.6996431350708,7.61607122421265,7.65642881393433,601904800,6.45146512985229,30.8500003814697,31.1000003814697,30.6399993896484,30.9599990844727,49749600,23.2615642547607,0.460500001907349,0.474000006914139,0.460500001907349,0.46900001168251,728648000,0.430073440074921,NA,NA,NA,NA,NA,NA,15.6951951980591,15.7117118835449,15.5540542602539,15.6153650283813,120067812,15.5410633087158,NA,NA,NA,NA,NA,NA,42.7900009155273,43.8400001525879,42.7799987792969,43.6800003051758,41208300,29.5686073303223,35.9000015258789,35.9099998474121,34.9300003051758,35.189998626709,7517100,23.2070465087891,NA,NA,NA,NA,NA,NA,33.3499984741211,33.3499984741211,33.3499984741211,33.3499984741211,0,33.3499984741211,17.1299991607666,17.2299995422363,16.9599990844727,17.1399993896484,2169300,7.14396095275879,NA,NA,NA,NA,NA,NA,18.4669990539551,18.5555000305176,18.2900009155273,18.4473323822021,518237,8.24999332427979,2.70000004768372,2.75,2.60999989509583,2.60999989509583,4300,2.60999989509583,28.4933338165283,28.5766677856445,28.3600006103516,28.533332824707,510000,10.7450580596924,1.37222003936768,1.36667001247406,1.3222199678421,1.36667001247406,833,1.36667001247406,NA,NA,NA,NA,NA,NA
"3",2010-01-06,1135.7099609375,1139.18994140625,1133.94995117188,1137.14001464844,4972660000,1137.14001464844,12216.400390625,12230.7001953125,12147.599609375,12222.5,123800,12222.4873046875,2307.7099609375,2314.07006835938,2295.67993164062,2301.09008789062,2253340000,2301.09008789062,6.73000001907349,6.73649978637695,6.58249998092651,6.61250019073486,143576000,6.61250019073486,7.65642881393433,7.68678617477417,7.5267858505249,7.53464317321777,552160000,6.34884643554688,30.8799991607666,31.0799999237061,30.5200004577637,30.7700004577637,58182400,23.1188144683838,0.46875,0.47299998998642,0.46424999833107,0.472000002861023,649168000,0.432824432849884,NA,NA,NA,NA,NA,NA,15.6621618270874,15.6621618270874,15.1741743087769,15.2217216491699,158988852,15.1492929458618,NA,NA,NA,NA,NA,NA,43.4500007629395,44.0900001525879,43.310001373291,43.9199981689453,27729000,29.7310695648193,35.2400016784668,35.5299987792969,35.2400016784668,35.4500007629395,7661600,23.3785152435303,NA,NA,NA,NA,NA,NA,33.3499984741211,33.3499984741211,33.3499984741211,33.3499984741211,0,33.3499984741211,17.0200004577637,17.3299999237061,17.0100002288818,17.2800006866455,1615900,7.20231533050537,NA,NA,NA,NA,NA,NA,18.3784999847412,18.6243324279785,18.3293323516846,18.5358333587646,371390,8.28957080841064,2.74000000953674,2.75999999046326,2.74000000953674,2.75999999046326,3700,2.75999999046326,28.1700000762939,28.3433322906494,28.1266670227051,28.2299995422363,491400,10.6308269500732,1.36667001247406,1.38332998752594,1.36110997200012,1.38332998752594,163881,1.38332998752594,NA,NA,NA,NA,NA,NA
"4",2010-01-07,1136.27001953125,1142.4599609375,1131.31994628906,1141.68994140625,5270680000,1141.68994140625,12163,12199.7001953125,12079.099609375,12166.2998046875,192400,12166.287109375,2298.09008789062,2301.30004882812,2285.21997070312,2300.05004882812,2270050000,2300.05004882812,6.60050010681152,6.61600017547607,6.44000005722046,6.5,220604000,6.5,7.5625,7.57142877578735,7.46607112884521,7.52071380615234,477131200,6.33710956573486,30.6299991607666,30.7000007629395,30.1900005340576,30.4500007629395,50559700,22.8783874511719,0.469500005245209,0.471500009298325,0.459250003099442,0.462749987840652,547792000,0.424342185258865,NA,NA,NA,NA,NA,NA,15.2502498626709,15.2652654647827,14.8310813903809,14.8673667907715,256315428,14.7966251373291,NA,NA,NA,NA,NA,NA,43.7900009155273,45.1199989318848,43.6100006103516,44.7900009155273,44864700,30.3200073242188,35.4900016784668,35.560001373291,35.1500015258789,35.2700004577637,5997100,23.2598075866699,NA,NA,NA,NA,NA,NA,33.3499984741211,33.3499984741211,33.3499984741211,33.3499984741211,0,33.3499984741211,17.0900001525879,17.2099990844727,16.9599990844727,17.1900005340576,1896200,7.16480350494385,NA,NA,NA,NA,NA,NA,18.3686676025391,18.4571666717529,18.2408332824707,18.4080009460449,472780,8.23240089416504,2.75,2.75,2.74000000953674,2.74000000953674,2000,2.74000000953674,27.8899993896484,27.9466667175293,27.7399997711182,27.75,1137600,10.4500703811646,1.38332998752594,1.43333005905151,1.36667001247406,1.37777996063232,31284,1.37777996063232,NA,NA,NA,NA,NA,NA
"5",2010-01-08,1140.52001953125,1145.39001464844,1136.21997070312,1144.97998046875,4389590000,1144.97998046875,12218,12232.2001953125,12079.900390625,12163,213200,12162.9873046875,2292.23999023438,2317.60009765625,2290.61010742188,2317.169921875,2145390000,2317.169921875,6.52799987792969,6.68400001525879,6.45149993896484,6.67600011825562,196610000,6.67600011825562,7.51071405410767,7.57142877578735,7.46642923355103,7.57071399688721,447610800,6.37924194335938,30.2800006866455,30.8799991607666,30.2399997711182,30.6599998474121,51197400,23.0361633300781,0.458999991416931,0.467000007629395,0.456250011920929,0.463750004768372,478168000,0.425259113311768,NA,NA,NA,NA,NA,NA,14.8148145675659,15.0963459014893,14.7424917221069,15.0655660629272,188783028,14.9938812255859,NA,NA,NA,NA,NA,NA,44.3699989318848,44.7000007629395,44.0800018310547,44.6800003051758,33110100,30.2455387115479,35.2799987792969,35.2799987792969,34.8400001525879,35,5624400,23.0817451477051,NA,NA,NA,NA,NA,NA,33.3499984741211,33.3499984741211,33.3499984741211,33.3499984741211,0,33.3499984741211,17.1700000762939,17.2900009155273,17.1000003814697,17.2700004577637,1785900,7.19814729690552,NA,NA,NA,NA,NA,NA,18.4571666717529,18.6833324432373,18.4571666717529,18.6439990997314,484983,8.33794498443604,2.72000002861023,2.72000002861023,2.65000009536743,2.6800000667572,2600,2.6800000667572,27.4400005340576,27.6266670227051,27.3166675567627,27.5666675567627,1290600,10.3810319900513,1.37777996063232,1.37777996063232,1.37777996063232,1.37777996063232,0,1.37777996063232,NA,NA,NA,NA,NA,NA
"6",2010-01-11,1145.9599609375,1149.73999023438,1142.02001953125,1146.97998046875,4255780000,1146.97998046875,12192.5,12233.900390625,12066.099609375,12074.5,230800,12074.4873046875,2324.78002929688,2326.28002929688,2302.2099609375,2312.40991210938,2077890000,2312.40991210938,6.63100004196167,6.6399998664856,6.46049976348877,6.51550006866455,175588000,6.51550006866455,7.59999990463257,7.60714292526245,7.44464302062988,7.50392913818359,462229600,6.32296705245972,30.7099990844727,30.7600002288818,30.1200008392334,30.2700004577637,68754700,22.7431411743164,0.466250002384186,0.468250006437302,0.45074999332428,0.457249999046326,556612000,0.419298589229584,NA,NA,NA,NA,NA,NA,15.1266269683838,15.1266269683838,14.8658657073975,15.0427932739258,288227484,14.9712162017822,NA,NA,NA,NA,NA,NA,45.1199989318848,45.189998626709,44.310001373291,44.5299987792969,31878700,30.1439952850342,35.0900001525879,35.560001373291,35.0900001525879,35.4799995422363,4793400,23.3982963562012,NA,NA,NA,NA,NA,NA,33.3499984741211,33.3499984741211,33.3499984741211,33.3499984741211,0,33.3499984741211,17.5300006866455,17.5499992370605,17.3400001525879,17.5,1976200,7.29401159286499,NA,NA,NA,NA,NA,NA,18.7521667480469,18.7816677093506,18.3686676025391,18.6735000610352,546915,8.35114002227783,2.6800000667572,2.72000002861023,2.6800000667572,2.72000002861023,6000,2.72000002861023,26.8899993896484,27.0133323669434,26.75,26.9733333587646,1697700,10.1575946807861,1.37777996063232,1.37777996063232,1.37777996063232,1.37777996063232,0,1.37777996063232,NA,NA,NA,NA,NA,NA
"7",2010-01-12,1143.81005859375,1143.81005859375,1131.77001953125,1136.21997070312,4716160000,1136.21997070312,12094.400390625,12134.2001953125,11941.099609375,11966.099609375,186800,11966.087890625,2297.28002929688,2298.85009765625,2272.69995117188,2282.31005859375,2368320000,2282.31005859375,6.44950008392334,6.49100017547607,6.3274998664856,6.36749982833862,181926000,6.36749982833862,7.47107076644897,7.49178600311279,7.37214279174805,7.41857099533081,594459600,6.25104188919067,30.1499996185303,30.3999996185303,29.9099998474121,30.0699996948242,65912100,22.5928745269775,0.450500011444092,0.452250003814697,0.432249993085861,0.44174998998642,627432000,0.405084997415543,NA,NA,NA,NA,NA,NA,14.9562063217163,14.9689693450928,14.7147150039673,14.7767772674561,193937868,14.706467628479,NA,NA,NA,NA,NA,NA,43.9900016784668,44.1500015258789,42.939998626709,43.4900016784668,47109600,29.4399967193604,35.3499984741211,35.5999984741211,35.2099990844727,35.3600006103516,4700800,23.3191547393799,NA,NA,NA,NA,NA,NA,33.3499984741211,33.3499984741211,33.3499984741211,33.3499984741211,0,33.3499984741211,17.1100006103516,17.2299995422363,16.9200000762939,17,2053300,7.08561134338379,NA,NA,NA,NA,NA,NA,18.5555000305176,18.6538333892822,18.3490009307861,18.4866676330566,408915,8.26758480072021,2.6800000667572,2.72000002861023,2.65000009536743,2.72000002861023,2100,2.72000002861023,26.8400001525879,26.9366664886475,26.7066669464111,26.7733325958252,733200,10.0822782516479,1.38332998752594,1.4277800321579,1.38332998752594,1.38889002799988,27018,1.38889002799988,NA,NA,NA,NA,NA,NA
"8",2010-01-13,1137.31005859375,1148.40002441406,1133.18005371094,1145.68005371094,4170360000,1145.68005371094,11923,12027.2001953125,11909.599609375,11958.2998046875,181800,11958.2880859375,2289.4599609375,2313.03002929688,2274.1201171875,2307.89990234375,2318350000,2307.89990234375,6.39499998092651,6.4854998588562,6.28749990463257,6.45550012588501,214464000,6.45550012588501,7.42392921447754,7.53321409225464,7.2892861366272,7.5232138633728,605892000,6.33921480178833,30.2600002288818,30.5200004577637,30.0100002288818,30.3500003814697,51863500,22.803243637085,0.444750010967255,0.449250012636185,0.427500009536743,0.447750002145767,508868000,0.410587161779404,NA,NA,NA,NA,NA,NA,14.4266767501831,14.7242240905762,14.3618621826172,14.6919422149658,259604136,14.6220359802246,NA,NA,NA,NA,NA,NA,43.5499992370605,44.5299987792969,42.8699989318848,44.25,39622000,29.9544715881348,35.3499984741211,36,35.2700004577637,35.8499984741211,5320900,23.6423034667969,NA,NA,NA,NA,NA,NA,33.3499984741211,33.3499984741211,33.3499984741211,33.3499984741211,0,33.3499984741211,17,17.0699996948242,16.7800006866455,17.0300006866455,1557600,7.09811449050903,NA,NA,NA,NA,NA,NA,18.6046676635742,18.6145000457764,18.3490009307861,18.5653324127197,348610,8.30276679992676,2.72000002861023,2.78999996185303,2.72000002861023,2.77999997138977,10300,2.77999997138977,27.0266666412354,27.1033325195312,26.8099994659424,27.0533332824707,634800,10.1877222061157,1.38889002799988,0.494439989328384,0.477780014276505,0.477780014276505,1350,0.477780014276505,NA,NA,NA,NA,NA,NA
"9",2010-01-14,1145.68005371094,1150.41003417969,1143.80004882812,1148.4599609375,3915200000,1148.4599609375,12049.099609375,12050.400390625,11902.2998046875,11999.7998046875,153800,11999.7880859375,2303.31005859375,2322.56005859375,2303.2900390625,2316.73999023438,2254170000,2316.73999023438,6.45699977874756,6.51900005340576,6.32000017166138,6.36749982833862,195498000,6.36749982833862,7.50392913818359,7.51642894744873,7.46500015258789,7.47964286804199,432894000,6.30250120162964,30.3099994659424,31.1000003814697,30.2600002288818,30.9599990844727,63228100,23.2615642547607,0.44225001335144,0.445499986410141,0.43325001001358,0.440750002861023,608524000,0.404168128967285,NA,NA,NA,NA,NA,NA,14.6121120452881,14.8698701858521,14.5848350524902,14.7610111236572,169434396,14.6907758712769,NA,NA,NA,NA,NA,NA,44.2000007629395,44.7900009155273,44.0999984741211,44.689998626709,37938300,30.2523155212402,35.75,36,35.75,36,6417300,23.7412242889404,NA,NA,NA,NA,NA,NA,33.3499984741211,33.3499984741211,33.3499984741211,33.3499984741211,0,33.3499984741211,16.7800006866455,17.0599994659424,16.7800006866455,17.0400009155273,1703900,7.10228157043457,NA,NA,NA,NA,NA,NA,18.3096675872803,18.5358333587646,18.2604999542236,18.4965000152588,327356,8.27198028564453,2.74000000953674,2.97000002861023,2.74000000953674,2.97000002861023,19500,2.97000002861023,26.8533325195312,27.0133323669434,26.7766666412354,26.9500007629395,776400,10.1488075256348,0.477780014276505,0.477780014276505,0.477780014276505,0.477780014276505,0,0.477780014276505,NA,NA,NA,NA,NA,NA
"10",2010-01-15,1147.71997070312,1147.77001953125,1131.39001464844,1136.03002929688,4758730000,1136.03002929688,12028.5,12085.2998046875,11818.599609375,11845,236400,11844.98828125,2316.97998046875,2322.5400390625,2279.19995117188,2287.98999023438,2637770000,2287.98999023438,6.45900011062622,6.48250007629395,6.35300016403198,6.35699987411499,307530000,6.35699987411499,7.53321409225464,7.55714321136475,7.35249996185303,7.35464286804199,594067600,6.19717502593994,31.0799999237061,31.2399997711182,30.7099990844727,30.8600006103516,79913200,23.1864337921143,0.4375,0.441249996423721,0.421999990940094,0.427749991416931,818192000,0.392247080802917,NA,NA,NA,NA,NA,NA,14.8483476638794,14.8538541793823,14.46546459198,14.5145149230957,217162620,14.4454517364502,NA,NA,NA,NA,NA,NA,44.2999992370605,44.4300003051758,43.3400001525879,43.6800003051758,69738500,29.5686073303223,36,36.1100006103516,35.4300003051758,35.8199996948242,6519600,23.6225109100342,NA,NA,NA,NA,NA,NA,33.3499984741211,33.3499984741211,33.3499984741211,33.3499984741211,0,33.3499984741211,16.8199996948242,16.8600006103516,16.5,16.5599994659424,1802700,6.90221786499023,NA,NA,NA,NA,NA,NA,18.2408332824707,18.2604999542236,17.9458332061768,18.0834999084473,531458,8.08727645874023,2.95000004768372,3,2.90000009536743,2.97000002861023,9000,2.97000002861023,26.7399997711182,26.75,26.2633323669434,26.3899993896484,1021200,9.93792057037354,0.477780014276505,0.477780014276505,0.477780014276505,0.477780014276505,0,0.477780014276505,NA,NA,NA,NA,NA,NA
